operation,x0_20,x0_100,x0_500
add_1,2.3265020847320557,14.855236053466797,77.9019546508789
add_3,0.1704712063074112,5.393593788146973,28.215049743652344
add_5,0.1741803139448166,3.3023602962493896,17.08136558532715
sub_2,0.6144035458564758,7.166074752807617,40.90104293823242
sub_4,0.14947505295276642,3.317707061767578,20.447383880615234
mul_2,0.44715073704719543,0.9372349977493286,1.4290715456008911
mul_3,0.18621714413166046,0.3863012194633484,0.6389361619949341
div_2,0.029004355892539024,0.2546093165874481,1.389229655265808
div_3,0.003954880405217409,0.02569219097495079,0.1457548588514328
sqrt,0.009709756821393967,0.02328522689640522,0.033441368490457535
affine_1.1x+1,1.7349106073379517,12.848038673400879,67.7861328125
affine_0.9x+2,1.3616969585418701,7.7220916748046875,39.5269889831543
