operation,Ours (Hierarchical),MLP baseline,LSTM (direct),LSTM (autoregressive),Transformer baseline
add_1,0.041728,0.006906,0.035347,0.040719,0.004413
add_3,0.019197,0.00307,0.012687,0.012121,0.002249
add_5,0.014315,0.002906,0.011623,0.014849,0.001504
sub_2,0.013418,0.007428,0.013973,0.013247,0.008092
sub_4,0.011397,0.007144,0.013037,0.011595,0.006901
mul_2,0.048481,0.158876,0.180212,0.169218,0.167321
mul_3,0.1007,0.065403,0.06234,0.066687,0.068069
div_2,0.001183,0.001545,0.010259,0.020932,0.003314
div_3,0.001488,0.002135,0.010309,0.00794,0.003684
sqrt,0.002943,0.003382,0.010669,0.021243,0.006406
affine_1.1x+1,0.014616,0.003649,0.010484,0.012025,0.003299
affine_0.9x+2,0.007177,0.002414,0.014745,0.011554,0.003123
