operation,steps_01_15,steps_16_30,steps_31_60
add_1,0.08623279631137848,0.3680465817451477,4.209039688110352
add_3,0.00320750311948359,0.35425013303756714,4.870402812957764
add_5,0.010624838061630726,0.38814207911491394,5.025564670562744
sub_2,0.018757468089461327,1.2277780771255493,8.537994384765625
sub_4,0.009942975826561451,1.209086298942566,8.562541961669922
mul_2,0.04972667619585991,0.41240164637565613,1.3241748809814453
mul_3,0.02856486290693283,0.26831361651420593,1.7948123216629028
div_2,0.011208264157176018,0.07026996463537216,1.8560526371002197
div_3,0.0033306023105978966,0.11806012690067291,2.4437320232391357
sqrt,0.02789720892906189,0.10200435668230057,1.7672747373580933
affine_1.1x+1,0.008928676135838032,3.9026782512664795,88.61880493164062
affine_0.9x+2,0.009186256676912308,0.048497121781110764,0.23493720591068268
