operation,mean_confidence,std_confidence
add_1,0.6136479377746582,0.00024252392177004367
add_3,0.6136857271194458,7.448215183103457e-05
add_5,0.6136993169784546,4.369063026388176e-05
sub_2,0.6136792302131653,0.00010064852540381253
sub_4,0.6136846542358398,5.449849777505733e-05
mul_2,0.463569700717926,0.028177542611956596
mul_3,0.5485144853591919,0.027923157438635826
div_2,0.6142581105232239,5.005964339943603e-06
div_3,0.6142793297767639,1.740606535349798e-06
sqrt,0.6142036318778992,0.00014820824435446411
affine_1.1x+1,0.6130695939064026,0.0004062597581651062
affine_0.9x+2,0.6139695048332214,8.763070945860818e-05
