operation,mean_soft_rank,type
add_1,1.996994972229004,smooth
add_3,1.997187614440918,smooth
add_5,1.9972102642059326,smooth
sub_2,1.9971622228622437,smooth
sub_4,1.997179627418518,smooth
mul_2,1.3738510608673096,smooth
mul_3,1.7267704010009766,smooth
div_2,1.99954354763031,smooth
div_3,1.9996354579925537,smooth
sqrt,1.9744598865509033,smooth
affine_1.1x+1,1.9943733215332031,smooth
affine_0.9x+2,1.9983447790145874,smooth
square,1.9749962091445923,explosive
mod_add3_17,1.9998750686645508,modular
mod_add7_17,1.9999347925186157,modular
