operation,enc_x0,ref_confidence,mae_full_x020,mae_injected_x020,mae_full_x050,mae_injected_x050,mae_full_x0200,mae_injected_x0200,mae_full_x01000,mae_injected_x01000
add_1,5.0,0.6186633706092834,10.970947265625,1.2764204634164895,42.201473236083984,27.847549000957194,190.70623779296875,177.07389307657368,983.282470703125,972.9864333928592
add_3,5.0,0.6187384128570557,4.282225608825684,0.3284494026285302,24.837114334106445,5.714681787252201,187.66717529296875,148.2037287402396,980.4768676757812,944.1407909381307
add_5,5.0,0.6187494397163391,4.601892948150635,0.36262973868922427,36.30393600463867,1.491844061617084,184.1318359375,118.71768523605105,977.1193237304688,914.6313745051291
sub_2,5.0,0.6187682747840881,7.046891212463379,8.466085727244222,33.99491500854492,37.52487859927591,179.84521484375,185.52165610911578,972.1100463867188,980.5675503585958
sub_4,5.0,0.6187611222267151,4.019891262054443,5.4407413173277375,28.131813049316406,31.90061739256408,170.64892578125,179.1702933806113,959.2905883789062,972.7694863277623
mul_2,5.0,0.46562060713768005,43416.15234375,129571.97005715493,68653.46875,204225.74609153613,56693.9765625,291809.2483314837,76599.1640625,278632.80997681356
mul_3,5.0,0.5597388744354248,34452.99609375,74597.63978152574,49145.3984375,117933.53914867621,128237.25,125241.69542323494,454727.5625,55445.87886797455
div_2,5.0,0.6193088293075562,0.011525102891027927,0.014358140086609898,0.02569856122136116,0.02848929550119361,0.4070596396923065,0.43407443957039915,3.1658217906951904,3.2147615300079004
div_3,5.0,0.6193311214447021,0.011285236105322838,0.004754289817772724,0.015967318788170815,0.008155202369747086,0.029772771522402763,0.028903172289318695,0.09127023071050644,0.08785765405112013
sqrt,5.0,0.6193010807037354,0.003121892688795924,0.002400187049830797,0.005731701850891113,0.003106707434695588,0.00444923248142004,0.004070398053520933,0.00667974166572094,0.005076223691909343
affine_1.1x+1,5.0,0.6180837750434875,18.66635513305664,10.861664121649907,116.15446472167969,86.03360759830302,641.375244140625,593.524028060171,3364.545654296875,3316.786464101964
affine_0.9x+2,5.0,0.6189976930618286,0.4365423917770386,0.6587697065088162,14.60572624206543,4.723157582020013,60.62968826293945,50.89024402015759,307.6038818359375,298.02249473472784
