operation,mae_rollout,pe_confidence,dominant_branch
add_1,0.21556977927684784,0.6186633706092834,PW
add_3,0.2193041741847992,0.6187384128570557,PW
add_5,0.47935715317726135,0.6187494397163391,PW
sub_2,0.7081547975540161,0.6187682747840881,PW
sub_4,1.3145523071289062,0.6187611222267151,PW
mul_2,14994.0908203125,0.46562060713768005,PW
mul_3,25981.482421875,0.5597388744354248,PW
div_2,0.0009319111704826355,0.6193088293075562,PW
div_3,0.002164369449019432,0.6193311214447021,PW
sqrt,0.0018175601726397872,0.6193010807037354,PW
affine_1.1x+1,2.1568443775177,0.6180837750434875,PW
affine_0.9x+2,0.03196873515844345,0.6189976930618286,PW
mod_add3_17,4.904521465301514,0.6193922758102417,PW
mod_add7_17,13.90764331817627,0.6193941831588745,PW
